858,田村市,イベント情報,復興応援隊,田村市復興応援隊　都路事務所,たむらしふっこうおうえんたい　みやこじじむしょ,37.4363032,140.7951907,,0247-61-5153,963-4701,福島県田村市都路町古道字新町46,,,,平日9：00～17：30
944,伊達市,イベント情報,イベント情報,三浦弥平杯ロードレース大会,みうらやへいはいろーどれーすたいかい,37.8455711,140.6012896,五輪マラソン大会に出場した故三浦弥平の功績をたたえて毎年行われる大会。,024-577-0403,960-0792,伊達市梁川町青葉町1　梁川分庁舎付近,,20161023,2016年10月23日　1日間,
945,伊達市,イベント情報,イベント情報,霊山神社秋季例大祭,れいざんじんじゃしゅうきれいたいさい,37.7990872,140.6464187,地域の獅子舞等の伝統芸能が奉納され、大勢の観光客で賑わう。,024-587-1326,960-0804,伊達市霊山町大石字古屋舘1,,,2016年10月下旬,
946,伊達市,イベント情報,イベント情報,天照神明宮秋季例大祭,てんしょうしんめいぐうしゅうきれいたいさい,37.8218629,140.5551811,神社神輿を先頭に山車が練り歩き、各所で稚児舞が楽しめる。,024-576-3441,960-0612,伊達市保原町字宮下1,,,2016年10月中旬,
947,伊達市,イベント情報,イベント情報,水雲神社例大祭,すいうんじんじゃれいたいさい,37.8214318,140.5223997,伊達政宗の隠れ臼と伝えられる「焼き臼」がご神体。,024-583-5005,960-0501,伊達市伏黒字宮本21,,,2016年11月上旬,
948,伊達市,イベント情報,イベント情報,羽山神社の山車祭,はやまじんじゃのだしさい,37.8771351,140.6636564,各地区から7台の山車が勢ぞろいし、太鼓を打ち鳴らしながら地区内を練り歩く。,024-577-0402,960-0703,伊達市梁川町山舟生地区,,,2016年10月中旬　2日間,
949,伊達市,イベント情報,イベント情報,蓮昌寺十三講会式,れんしょうじじゅうさんこうえしき,37.816182,140.6212253,地元で採れた柿、大根、3色の餅で飾られた高さ3ｍにもなる餅柱を2本奉納する。,024-587-1057,960-0803,伊達市霊山町泉原字方事73,,20161119,2016年11月19日～20日　2日間,
950,伊達市,イベント情報,イベント情報,ほばら産業まつり,ほばらさんぎょうまつり,37.8212491,140.5562171,農作物や特産品の即売のほか、伝統地場産業の真綿製品の品評会・即売会も行われる。,024-575-2284,960-0612,伊達市保原町字宮下111-4,,,2016年11月上旬　2日間,
951,伊達市,イベント情報,イベント情報,だてふるさと産業祭,だてふるさとさんぎょうさい,37.8173914,140.5053525,地元の新鮮な農産物や地元商工会加盟店商品を特価で販売。,024-583-3321,960-0412,伊達市雪車町19　ＪＡんめ～べ,,,2016年11月上旬　2日間,
952,伊達市,イベント情報,イベント情報,霊山紅葉まつり,りょうぜんこうようまつり,37.7550177,140.6867843,霊山登山口で物産展が開かれるほか、りょうぜん紅彩館でイベントも開催される。,024-529-7779,960-0807,伊達市霊山町石田字宝司沢,,,2016年10月下旬～2016年11月上旬,
953,伊達市,イベント情報,イベント情報,やながわふる里秋まつり,やながわふるさとあきまつり,37.8455711,140.6012896,特産品の販売会や、町内団体の参加による各種イベントが行われる。,024-577-2151,960-0792,伊達市梁川町青葉町1,,,2016年11月中旬　2日間,
954,伊達市,イベント情報,イベント情報,お手姫の里秋まつり,おてひめのさとあきまつり,37.7345556,140.6091069,特産品の販売会や、町内団体の参加による各種イベントが行われる。,024-572-2112,960-0692,伊達市月舘町月舘字ウルシ坊19-1,,,2016年11月上旬　2日間,
955,伊達市,イベント情報,イベント情報,保原のニットサンクスフェア,ほばらのにっとさんくすふぇあ,37.8212491,140.5562171,特産のニット製品を工場直販価格（市価の50%～70%ＯＦＦ）で提供するイベント。,024-563-6705,960-0612,伊達市保原町字宮下111-4,,,2016年11月中旬,
956,伊達市,イベント情報,イベント情報,2016梁川冬のニットフェアとうまいものまつり,2016やながわふゆのにっとふぇあとうまいものまつり,37.8552859,140.6019425,「ニットのまち梁川」の魅力を感じさせるイベントです。<br>高品質のニットが産地価格で提供されるほか、うまいものまつりでは産地直送の農産物など、自慢の美味が一同に集います。,024-563-6705,960-0786,伊達市梁川町字南本町35,,,2016年12月上旬　3日間,
957,伊達市,イベント情報,イベント情報,冬のニットフェア,ふゆのにっとふぇあ,37.8147274,140.556234,高品質の純国産ニットを工場直売価格（市価の5割引以下の価格）で販売します。<br>婦人服のほか、紳士物、小物類、毛糸も販売されます。,024-563-6705,960-0671,伊達市保原町字東野崎45-9,,,2017年2月上旬　1日間,
958,伊達市,イベント情報,イベント情報,つつこ引き祭り,つつこびきまつり,37.8182826,140.5503731,「商売繁盛・五穀豊穣・無病息災」を祈って厳島神社で行われる勇壮な祭り。,024-576-4062,960-0629,伊達市保原町字弥生町57-2,,20170305,2017年3月5日（日）　1日間,
959,伊達市,イベント情報,イベント情報,まゆ手工芸展示発表会,まゆしゅこうげいてんじはっぴょうかい,37.8455711,140.6012896,まゆの手工芸品を作りながら伝統を伝えるグループの作品約200点を展示。,024-577-1111,960-0792,伊達市梁川町青葉町1　梁川分庁舎1階,,,2017年3月中旬　約1週間,
960,伊達市,イベント情報,イベント情報,伊達のふる里桜まつり,だてのふるさとさくらまつり,37.8538287,140.6245822,広い園内には約2000本の桜が咲き誇る。,024-577-6100,960-0723,伊達市梁川町内山1,,,2017年4月中旬　約1週間,
961,伊達市,イベント情報,イベント情報,2017梁川春のニットフェア,2017やながわはるのにっとふぇあ,37.8552859,140.6019425,伊達市内の工場で生産された高品質のニット約5000点が産地価格で提供されます。,024-563-6075,960-0786,伊達市梁川町南本町35,,,2017年4月中旬　2日間,
